Filename,Title,Max_Similarity,Trigger_Keyword,Full_Text,Truth
news_room/date=20250705/hour=00/I00ae9be0593411f09b0282aa3dfa2ff3-1.xml,I'm human. Are you? The battle for our online identity,0.5412,cyber espionage,"It's every manager's worst nightmare: hiring a remote employee who turns out to be a North Korean hacker intent on loading malware on to your network. But that's what happened to the US cyber security company KnowBe4 in 2024, as the company's founder Stu Sjouwerman described in a candid blog post. KnowBe4 had posted a job ad for an AI software engineer, interviewed candidates by video, conducted background checks, verified references and made an offer. But soon after the company sent a Mac workstation to the remote employee's notional address, he went rogue. The company quickly discovered he was a fake North Korean IT worker, who had used a valid, but stolen, US-based identity to land the job. He then accessed the workstation remotely from Asia via an ""IT mule laptop farm"". Thankfully, no data was compromised but the company said it sure was a ""learning moment"". ""If it can happen to us, it can happen to almost anyone. Don't let it happen to you,"" Mr Sjouwerman wrote. This scary incident highlights the difficulties of authenticating someone's identity online -- even by specialist security experts. But that challenge is about to become immeasurably harder as we outsource more responsibilities to AI chatbots and agents, getting them to perform many administrative functions online, and we generate lifelike video avatars. Up to now, the internet has mostly involved machines communicating with machines and humans interacting with humans. But increasingly those lines are blurring. We're close to the point where chatbots and avatars are all but indistinguishable from humans online. How can you be sure that you're not interacting with a synthetic human? As is the way with Silicon Valley, some tech executives have come up with a proposed solution to the problem they have created, profiting from both sides of the transaction. Prominent among them is Mr Sam Altman, who triggered the generative AI investment frenzy after his company OpenAI released ChatGPT in 2022. Mr Altman has also co-founded Tools for Humanity, which has developed an iris-verification device, a white globe about the size of a football, called the Orb. ""We needed some way for identifying, authenticating humans in the age of AGI,"" he told an event in San Francisco in 2025. ""We wanted a way to make sure that humans stayed special and central."" Once a user's eye is scanned, the company sends them a World ID, a global digital passport, and US$42 (S$53) in Worldcoin cryptocurrency as a reward for joining the network. As at April, some 13.5 million people in 23 countries had used the Orb to generate a World ID. The service was launched in the UK in June. The Orb is undoubtedly trying to address a real user need. But, quite apart from the scary Black Mirror vibes, it is questionable how effective the iris-scanning service will be. The need for a special machine to identify and authenticate any user (there are currently more than 1,500 Orbs in operation) makes the system clunky and expensive. The insistence on one centralised digital identity deprives a user of the freedom to have multiple, disconnected identities, raising privacy concerns. The World ID passport also risks becoming a walled garden that may not interoperate with other ID networks, such as the EU Digital Identity Wallet, which will become operational across the bloc by 2026. Nevertheless, some security experts suggest that we are rapidly entering a world where our default assumption must be that all online counterparties are synthetic unless they can prove otherwise. That creates a need to demonstrate genuine presence online, or ""liveness"", as Mr Andrew Bud, founder of the biometric authentication company iProov, calls it. iProov's premium service has been used more than 100 million times by customers, including governments and financial services companies, through a smartphone-based facial recognition system. This shoots multicoloured lights at a user's face and analyses the reflections, verifying their identity in about 2.5 seconds. ""Digital identity is a set of facts. But trust does not reside in facts. It resides in people,"" Mr Bud tells me. That means linking those facts to a human being who controls those facts. ""And for that you're going to have to use biometrics."" The identification and authentication of users is one of the hardest challenges we face on the internet because technology is evolving so fast, but it is critical that we meet it. The likely next threat? Masses of synthetic hackers. FINANCIAL TIMES",Espionage
news_room/date=20250705/hour=00/I00bf3db0593411f083a7eaadf851f99d-1.xml,Firms urged to think like cyber criminals to boost defences,0.5059,national security,"Organisations need to think like cyber criminals and proactively run simulated real-world attacks internally to better prepare their cyber defenders in the age of artificial intelligence (AI), speakers at a cyber-security conference said. ""Globally, we are seeing growing interest, and increasingly brazen activity, against critical infrastructure: ports, utilities, telecommunications, transport networks,"" said Singapore's Defence Cyber chief Clarence Cai on July 4. ""Not perhaps for immediate disruption or commercial gain, but to map dependencies, identify vulnerabilities and pre-position for possible future leverage,"" Colonel (COL) Cai noted. ""Now add AI to the mix -- and this threat landscape goes on steroids."" Urging organisations to use AI to anticipate attack tactics, he said: ""This mindset shift might be the most important variable in the fight to come."" COL Cai was one of several speakers at ST Engineering's Cybersecurity Summit 2025, which brought together industry leaders to discuss AI-powered cyber attacks and plans to stay ahead in an increasingly complex threat landscape. Cyber attackers can run countless permutations on how to breach systems, considering factors such as credentials to unlock systems and potential points of exploitation, he said. In sharp contrast, defenders often think in a more checklist-oriented manner, he said during his keynote address at the event. He added that this fundamental difference gives attackers the upper hand -- unless defenders learn to adopt the dynamism that attackers have, which would level the playing field. He said that the mindset shift has already taken place in the military, citing what is being done at Singapore's Cyber Defence Test and Evaluation Centre (CyTEC). CyTEC was established in 2015, and falls under the banner of the Defence Cyber Command. It provides a virtual sandbox environment that simulates cyber threat scenarios to test defenders' skills and responses. ""CyTEC is where our most promising cyber minds -- including national servicemen -- develop AI-native workflows for red teaming and defence,"" he said. Red teaming is when ethical hackers simulate cyber attacks so organisations can test the effectiveness of their cyber-security system. In his speech, COL Cai said that defence is no longer just about where uniformed personnel meet, but also about where vulnerabilities exist. People and commercial organisations face non-kinetic, military-grade threats, said COL Cai, citing the cyber attack on British retailer Marks & Spencer earlier in the year which resulted in an estimated GBP300 million (S$520 million) loss in profit. ""The T-72 (battle tank) never rolled in -- but the digital equivalent of a precision strike did,"" he added. Military conflicts also no longer just target weapon platforms but also the digital infrastructure that people rely on, said COL Cai. He said: ""During recent hostilities between Israel and Iran, the world watched hypersonic missiles light up the night sky. But in the shadows, cyber attacks disrupted air traffic, spoofed the Global Positioning System, and interfered with hospital and financial services. ""These attacks weren't just at the front line, they were levelled at the foundations of modern society."" Urging all organisations, including small and medium-sized enterprises, to prepare early and systematically, Cyber Security Agency (CSA) of Singapore chief executive David Koh likened cyber security to brakes on a car. ""If you want to go fast, you need good brakes. If you want to digitalise, you need good cyber security,"" said Mr Koh. He added that digital resilience is a basic requirement for everybody to succeed in an increasingly digital economy. ""When the security posture of SMEs is strengthened, then there is a multiplicative effect. The protection extends beyond the SMEs themselves into the wider supply chain ecosystem, which all of us depend on."" During the summit, Senior Minister of State for Digital Development and Information Tan Kiat How said Singapore has built a strong cyber-security foundation. He cited initiatives such as the Infocomm Media Development Authority's CTO-as-a-Service, which gives SMEs access to expert digital guidance, and CSA's CISO-as-a-Service, which helps SMEs overcome resource constraints and knowledge barriers they may face in implementing cyber security. However, he added that consistently building on this foundation is important to keep up with the evolving threat landscape. Over eight in 10 Singapore organisations experienced a cyber-security incident in 2023, said Mr Tan, citing CSA's Singapore Cybersecurity Health Report 2023. Of these, 99 per cent reported suffering business impacts, with the top three being business disruption, data loss and reputational damage. ""Some SMEs feel that they are too small or too unimportant to be targeted,"" said Mr Tan. ""I often explain that threat actors may target small companies as a way to reach bigger targets,"" he added. ""When one firm is compromised, the impact may cascade through the broader industry sector -- potentially disrupting services, leaking data and even compromising national infrastructure,"" he said, urging firms to up their game. ""Let us not be remembered for what we failed to protect, but for what we had the foresight to be prepared for.""",Espionage
news_room/date=20250705/hour=00/I0210eb00593411f0ae11d38ef9829c09-1.xml,I'm human. Are you? The quest for our online identity,0.5318,cyber espionage,"It's every manager's worst nightmare: Hiring a remote employee who turns out to be a North Korean hacker intent on loading malware on to your network. But that's what happened to the US cyber security company KnowBe4 last year, as the company's founder, Stu Sjouwerman, described in a candid blog post. KnowBe4 had posted a job ad for an AI software engineer, interviewed candidates by video, conducted background checks, verified references and made an offer. But soon after the company sent a Mac workstation to the remote employee's notional address, he went rogue. The company quickly discovered he was a fake North Korean IT worker, who had used a valid, but stolen, US-based identity to land the job. He then accessed the workstation remotely from Asia via an ""IT mule laptop farm"". Thankfully, no data was compromised but the company said it was a ""learning moment"". ""If it can happen to us, it can happen to almost anyone. Don't let it happen to you,"" Sjouwerman wrote. This scary incident highlights the difficulties of authenticating someone's identity online -- even by specialist security experts. But that challenge is about to become immeasurably harder as we outsource more responsibilities to AI chatbots and agents, getting them to perform many administrative functions online, and we generate lifelike video avatars. Up to now, the internet has mostly involved machines communicating with machines and humans interacting with humans. But increasingly those lines are blurring. We're close to the point where chatbots and avatars are all but indistinguishable from humans online. How can you be sure that you're not interacting with a synthetic human? As is the way with Silicon Valley, some tech executives have come up with a proposed solution to the problem they have created, profiting from both sides of the transaction. Prominent among them is Sam Altman, who triggered the generative AI investment frenzy after his company OpenAI released ChatGPT in 2022. Altman has also co-founded Tools for Humanity, which has developed an iris-verification device, a white globe about the size of a football, called the Orb. ""We needed some way for identifying, authenticating humans in the age of AGI,"" he told an event in San Francisco this year. ""We wanted a way to make sure that humans stayed special and central."" Once a user's eye is scanned, the company sends them a World ID, a global digital passport, and US$42 in Worldcoin cryptocurrency as a reward for joining the network. As of April, some 13.5 million people in 23 countries had used the Orb to generate a World ID. The service was launched in the UK last month. The Orb is undoubtedly trying to address a real user need. But, quite apart from the scary Black Mirror vibes, it is questionable how effective the iris-scanning service will be. The need for a special machine to identify and authenticate any user (there are currently more than 1,500 Orbs in operation) makes the system clunky and expensive. The insistence on one centralised digital identity deprives a user of the freedom to have multiple, disconnected identities, raising privacy concerns. The World ID passport also risks becoming a walled garden that may not interoperate with other ID networks, such as the EU Digital Identity Wallet, which will become operational across the bloc by 2026. Nevertheless, some security experts suggest that we are rapidly entering a world where our default assumption must be that all online counterparties are synthetic unless they can prove otherwise. That creates a need to demonstrate genuine presence online, or ""liveness"", as Andrew Bud, founder of the biometric authentication company iProov, calls it. iProov's premium service has been used more than 100million times by customers, including governments and financial services companies, through a smartphone-based facial recognition system. This shoots multicoloured lights at a user's face and analyses the reflections, verifying their identity in about 2.5 seconds. ""Digital identity is a set of facts. But trust does not reside in facts. It resides in people,"" Bud tells me. That means linking those facts to a human being who controls those facts. ""And for that you're going to have to use biometrics."" The identification and authentication of users is one of the hardest challenges we face on the internet because technology is evolving so fast, but it is critical that we meet it. The likely next threat? Masses of synthetic hackers. FINANCIAL TIMES",Espionage
news_room/date=20250705/hour=00/I28397460593811f0b6d3957df25a0d6a-1.xml,"IRGC kills one woman, wounds 12 in Iran while looking for 'Israeli spies,' human rights group says",0.5375,spies,"The report from the Islamic Republic-backed news source claims that the five spies were foreign nationals and ""directly affiliated with the Zionist regime's intelligence services."" One woman was killed and 12 others wounded by the Islamic Revolutionary Guard Corps (IRGC), according to Haalvsh, a human rights group based in Sistan and Baluchestan region, which uploaded documentation of the incident on X/Twitter on Wednesday.The attacks took place in the village of Gonich, which is located in southeastern Iran, and targeted Baloch women and children.Ø±ÙˆØ§ÛŒØª Ú©Ø°Ø¨ Ùˆ Ø§Ù…Ù†ÛŒØªÛŒ Ø³Ù¾Ø§Ù‡ Ù¾Ø§Ø³Ø¯Ø§Ø±Ø§Ù† Ø§Ø² ÛŒÙˆØ±Ø´ Ù†ÛŒØ±ÙˆÙ‡Ø§ÛŒ Ù†Ø¸Ø§Ù…ÛŒ Ùˆ Ø§Ù…Ù†ÛŒØªÛŒ Ø¨Ù‡ Ø±ÙˆØ³ØªØ§ÛŒ #Ú¯ÙˆÙ†ÛŒÚ† Ø´Ù‡Ø±Ø³ØªØ§Ù† Ø®Ø§Ø´ Ùˆ Ú©Ø´ØªÙ‡ Ùˆ Ù…Ø¬Ø±ÙˆØ­ Ø´Ø¯Ù† Û±Û² Ø²Ù† Ø¨Ù„ÙˆÚ†Ø¨Ù‡â€Œ Ú¯Ø²Ø§Ø±Ø´ Ø­Ø§Ù„ â€ŒÙˆØ´ / ÛŒÚ© Ø±ÙˆØ² Ù¾Ø³ Ø§Ø² ÛŒÙˆØ±Ø´ Ø®ÙˆÙ†ÛŒÙ† Ù†ÛŒØ±ÙˆÙ‡Ø§ÛŒ Ø³Ù¾Ø§Ù‡ Ù¾Ø§Ø³Ø¯Ø§Ø±Ø§Ù† Ùˆ Ù†Ù‡Ø§Ø¯Ù‡Ø§ÛŒ Ø§Ù…Ù†ÛŒØªÛŒ Ø¨Ù‡ Ø±ÙˆØ³ØªØ§ÛŒ Ú¯ÙˆÙ†ÛŒÚ† Ø´Ù‡Ø±Ø³ØªØ§Ù† Ø®Ø§Ø´ Ùˆ Ù‡Ø¯Ù Ù‚Ø±Ø§Ø± Ø¯Ø§Ø¯Ù† Ù…Ø³ØªÙ‚ÛŒÙ… Ø²Ù†Ø§Ù† Ùˆ Ú©ÙˆØ¯Ú©Ø§Ù† Ø¨Ù„ÙˆÚ†ØŒ... pic.twitter.com/MePzkQt61bâ€” Ø­Ø§Ù„ ÙˆØ´ (@haalvsh) July 2, 2025The human rights organization also referred to a report published by the IRGC-owned Tasnim News Agency claiming to have pursued five Israeli spies in the area, which the organization describes as ""false"" and ""lacks names, images, accurate details, and credibility.""The contents of the Tasnim reportThe report from the Islamic Republic-backed news source claims that the five spies were foreign nationals and ""directly affiliated with the Zionist regime's intelligence services."" They added that the suspects ""managed to escape and are currently on the run."" Haalvsh said the report was a ""clear attempt to cover up the repression of ordinary citizens and justify this crime against Baloch civilians.""The human rights organization then cited eyewitnesses and other sources saying that Gonich was attacked with drones and military vehicles. The one person killed in the attack was a 40-year-old woman, while another woman, 21, lost her fetus due to being kicked by IRGC forces. The embroidered flags of Israel and the Islamic Republic of Iran (illustrative) (credit: SHUTTERSTOCK)The other wounded are all between the ages of 16 and 50, all of whom were Gonich residents, according to Haalvsh.The report by Tasnim and other IRGC-backed media is unreliable and used as propaganda to erase the crimes of the Islamic Republic, the human rights organization said, and called on other human rights organizations abroad to investigate the IRGC attack in Gunich and to further look into the death and injuries of civilians in the area. All rights reserved Â© The Jerusalem Post 1995 - 2022 Provided by SyndiGate Media Inc. (Syndigate.info",Espionage
news_room/date=20250705/hour=00/Id2e51ff0593711f0ae11d38ef9829c09-1.xml,Cochise County adds drones to border enforcement efforts,0.5662,surveillance drone,"The Cochise Sheriff's Department is adding a ""cutting edge"" drone pilot program to their robust set of border enforcement tools. The high-tech drone, which will launch in September, has been given to the county at no cost in hopes of curbing illegal border crossing, drug and people smugglers and help those in peril as they cross into Arizona from Mexico. The drone will also help out surrounding counties, which can bolster their cases with this new technology. Whether it's a missing persons case or a suspect on the run, the drone will be able to search places a helicopter can't. ""It's another tool in our arsenal that we need to keep us knowing what's going on in the criminal world,"" said Carol Capas, a spokeswoman for the Cochise Sheriff's Department. ""We're looking forward to things we can do to make citizen life better and we're committed to having the best technology."" Capas said the technology will help the department be more efficient. After investigating several companies to bring on board, the department chose a company called Draganfly that promises to help with mission-critical operations in harsh and remote terrain. Under this new pilot program, the department will deploy several types of drones, including fixed-wing models for extended border surveillance, AI-enhanced quadcopters and thermal imaging units to assist in search-and-rescue efforts as well as night operations, the department has previously said. Draganfly CEO Cameron Chelle said he is honored to be working with Cochise County and helping them find the technology that works best for the department. Since Cochise will be part of a pilot program, Draganfly has covered the cost of the drone. Chelle said Cochise already has ""some of the best of American law enforcement. (They are) innovation-focused, community-minded, and mission ready Â… (They) set a gold standard for how drone technology should be used to secure national borders."" The move to participate in the Draganfly beta program aligns with President Donald Trump's executive order, ""Unleashing American Drone Dominance,"" aimed at reasserting America's leadership in unmanned aerial systems for security and defense. Last month, Sheriff Mark Dannels was appointed to President Trump's Homeland Security Advisory Council. STK police car",Nonespionage
news_room/date=20250705/hour=01/Ic9212650593f11f080adceaeed7a7778-1.xml,Fraud Alert: 'Tailored' Scams,0.5448,cyber espionage,"Many of us receive phone calls from unknown numbers, only to realise it is a scammer pretending to be a bank official, a digital wallet company, or an e-commerce platform. What has changed in recent years is how convincing these calls have become. The language used is smooth, polished and sounds highly professional. But no, these fraudsters have not suddenly earned degrees in communication. Instead, they are using artificial intelligence (AI), machine learning (ML), and large language models (LLMs) to generate smart, personalised scripts-often adjusting their words in real-time. In many cases, cybercriminals pose as representatives from well-known Indian e-wallets and fintech companies like Paytm, PhonePe, or Razorpay. They use AI-generated scripts that sound highly convincing and professional. These scripts are often tailored in real time based on how the user responds, making the conversation seem even more authentic. Once the victim is engaged, the scammers typically ask them to install screen-sharing apps or reveal one-time passwords (OTPs), ultimately leading to financial fraud and loss. AI tools are no longer exclusive to big tech companies-they are now being used by cybercriminals to carry out fraud that is faster, smarter, and more personalised. People across India, regardless of age or how tech-savvy they are, have been tricked by these highly convincing and well-crafted scams. Earlier, it was easier to recognise a scam email-poor grammar, strange wording, and vague, generic messages were clear warning signs. But today's cybercriminals have upgraded their tactics. Using AI, LLMs and ML tools, they can now craft emails that are polished, personalised, and highly convincing. These modern scams are not only harder to detect-they are also far more successful. Today, scammers use AI to craft flawless emails and messages that look exactly like they are from trusted organisations. They replicate official websites, design realistic logos, and write convincing content that closely matches genuine communication. These scams are not just more polished-they are carefully customised to trick you, making them far harder to detect. AI has changed the gameâ€¦ for scammers Scams today are not random or careless-they are targeted, calculated, and alarmingly personal. With the help of AI, cybercriminals can sift through huge amounts of leaked data-often gathered from past data breaches-and customise their attacks for everyone. Details like your full name, job title, city, online purchases, or even recent conversations may already be floating around on the dark web. Cybercriminals buy this information and then use AI tools to create messages that seem surprisingly genuine, making it much easier to trick you. For instance, a fake email pretending to be from your bank might now include your full name, mention a recent transaction, or match the tone and style of actual messages you have received before-making it harder to detect as a scam. In some cases, fraudsters are even using AI-powered voice-cloning tools to mimic the voices of family members or senior company executives during phone calls. This makes their requests sound authentic and urgent, tricking victims into revealing sensitive details or approving fraudulent transfers. Last year, one of India's most shocking tech-driven scams unfolded in Gurugram, when a senior executive received a call that appeared to come directly from his company's US-based chief executive officer (CEO). The voice on the call sounded exactly like his boss-clear, confident, and familiar. But it was a fake. Using AI-powered voice cloning technology, cybercriminals had replicated the CEO's voice to perfection. Believing it was a genuine request, the executive transferred over Rs1 crore to a supposed 'vendor'-only to later discover he had been duped. AI can now generate thousands of scam messages within seconds, making it easier for cybercriminals to launch large-scale attacks through email, SMS, social media, and messaging apps. Many scammers even create fake profiles using AI-generated photos and convincing backstories on platforms like LinkedIn or WhatsApp. These are often used to trick people with bogus job offers or lure them into investment scams that promise high returns but end in financial loss. Using AI-generated videos and manipulated audio, fraudsters produce clips of celebrities or financial experts seemingly recommending a bogus investment app or scheme. In 2023, Infosys founder Narayana Murthy's two new deepfake videos, which were being shared on social media, purportedly promoted a so-called investing platform ""Quantum AI"", claiming that the user of this new tech would be able to earn US$3,000 (around Rs2.5 lakh) on the first working day. There has been a noticeable surge in AI-generated fake job offers and fraudulent interactions with supposed human resources (HR) professionals, especially on platforms like LinkedIn and WhatsApp. These scams are highly convincing-scammers use company logos, official-looking email formats, and even copy real HR profiles from genuine firms to appear authentic. Job seekers are lured with promises of high-paying roles and smooth recruitment processes. Once trust is established, the victims are asked to pay a 'security deposit' or 'document processing fee'. Many end up losing thousands of rupees before realising the job was never real. Cybercriminals are also using AI-generated photos and chat responses to create highly realistic fake profiles on platforms like Tinder, Bumble, Instagram, and even matrimonial sites. These profiles are designed to appear genuine and trustworthy. Once they win the victim's trust, the cybercriminals strike-either by emotionally manipulating them into sending money or by luring them into intimate video calls. These calls are secretly recorded and later used for sextortion, where victims are blackmailed with threats to leak the footage unless a ransom is paid. Why AI-powered scams are so dangerous Scams have evolved, and AI is the driving force behind this new wave of cybercrime. What once relied on poorly written messages and clumsy impersonation is now being replaced by precision-crafted deception. Here is what makes AI-driven scams so effective-and dangerous: * Perfectly written messages: AI tools eliminate the spelling errors and awkward grammar that once helped people spot a scam instantly. * Massive scale: Fraudsters can now generate thousands of unique phishing messages in just minutes, flooding inboxes, direct messages (DMs), and chats with realistic content. * Hyper-personalisation: With access to stolen personal data, scammers can tailor messages to match your name, job, location-even your recent online activity-making them far more believable. * Real-time manipulation: AI chatbots can mimic human conversation and respond instantly to your replies, nudging you to take urgent action without suspicion. * Fake voices and faces: Deepfake technology and voice cloning allow criminals to impersonate family members, colleagues, or even company executives with uncanny accuracy. These tools combine to create scams that can deceive even the most cautious, tech-savvy users. In today's AI-driven threat landscape, traditional advice like 'don't click suspicious links' is no longer enough. Staying safe now requires awareness, verification, and a healthy dose of scepticism-even when everything seems 'perfect'. According to Avast's Q1 2025 Threat Report, data breaches have skyrocketed, up more than 186% just in the first three months of 2025. ""With sensitive information like emails, passwords, and credit card numbers flooding the dark web, scammers are using AI to launch hyper-targeted phishing attacks that are hard to detect with the naked eye,"" the report warns. How can a common user stay safe from AI-driven scams? As cybercriminals become more sophisticated, it is important for all of us to adapt and stay alert. AI-based scams are fast, convincing, and increasingly personalised-but there are ways to protect yourself. Here are simple but effective steps you can follow: Don't fall for urgency or fear tactics Scammers often pressure you to act immediately-by saying your account will be blocked or you have won a prize. Take a moment to pause and think before clicking a link or sending money. Verify through trusted sources If you receive a suspicious call, message, or email-even from someone you know-don't trust it blindly. Contact the person or company directly using a number or email you already trust, not what is given in the message. Look out for subtle red flags AI-generated scams often closely mimic real emails or websites, but small clues can give them away-like an extra letter in the domain name, or using '.co' instead of '.com'. Use multi-factor authentication (MFA) Enable MFA on your email, banking, and social media accounts. This adds a second layer of security, making it harder for attackers to gain access even if they have your password. Keep an eye on your accounts Regularly review your bank statements, app login history, and credit reports. If something looks suspicious, report it immediately. Avoid clicking on random links If you get an unexpected message with a link-even if it looks legit-don't click. Go to the official website or open the app directly instead. Keep your device software updated Update your phone, computer, apps, and antivirus software regularly. These updates fix known security flaws that scammers often exploit. Share less on social media Details like your birthday, job title, or phone number can be used to personalise scams. Limit what you make public online. Report any scam attempts If you suspect a scam, report it at https://cybercrime.gov.in or call the national cybercrime helpline at 1930. Your report could help prevent others from being targeted. AI, ML, and LLMs are powering a new generation of scams-smarter, faster, and harder to detect. With technology that can mimic natural language, clone voices, replicate identities, and exploit human psychology, cybercriminals are no longer just opportunists-they are highly equipped and dangerously efficient. But the most powerful defence still lies with you: awareness. By understanding how these scams work and staying vigilant, you can protect yourself and others. In a world where even trust can be artificially manufactured, remember this: if something feels too perfect, it probably isn't. When in doubt, don't trust-verify. Stay Alert, Stay Safe! Copyright 2025 Moneywise Media LLP, distributed by Contify.com",Nonespionage
news_room/date=20250705/hour=03/I21f14820594d11f0b6d3957df25a0d6a-1.xml,Surveillance Surveillance Services,0.59,surveillance,Tenders are invited for Surveillance surveillance services Â© 2022 Al Bawaba (Albawaba.com) Provided by SyndiGate Media Inc. (Syndigate.info,Nonespionage
news_room/date=20250705/hour=03/I34261760595111f0ae11d38ef9829c09-1.xml,Ã½Cybercrime Clampdown: Sam George reveals arrests and investigations,0.519,cyber espionage,"03 July 2025 (Ghana Web) Ã½Minister of Communications, Digital Technology and Innovation, Samuel Nartey George, has announced significant progress in Ghana's efforts to combat cybercrime. Ã½ Ã½In a press briefing on Thursday, July 3, 2025, he said the country is recording major breakthroughs through intensified surveillance and collaboration among security agencies. Ã½ Over the past five months, joint operations led by the Cyber Security Authority (CSA), in partnership with the Ghana Police Service and the National Intelligence Bureau, have resulted in multiple arrests and successful prosecutions. These cases, the minister said, involved romance scams, child sexual abuse material, financial fraud, recruitment scams, and more. Ã½'In the last five months, we have conducted a number of operations in conjunction with the Ghana Police Service and the National Intelligence Bureau. A number of individuals have been surveilled, arrested, and prosecuted successfully,"" Sam George stated. Ã½ Ã½The key operations include a major cyber fraud bust at Nyamiduya Estates in Tema, where 426 foreign nationals were arrested and over 4,000 phones, 70 laptops, and five firearms were seized. Another operation in Sogapoke led to the arrest of 11 people involved in recruitment fraud and document forgery. Ã½ Ã½The minister also revealed that the FBI had sought Ghana's assistance in locating five suspects tied to cybercrimes involving over $105 million which the CSA successfully identified the individuals using its advanced digital tools. Ã½ Ã½He assured the public of continued efforts to safeguard Ghana's digital space and called for collective support in the fight against cybercrime.",Nonespionage
news_room/date=20250705/hour=03/I4df329d1595111f083a7eaadf851f99d-1.xml,Louis Vuitton Korea reports data breach amid wave of cyberattacks on luxury brands,0.5944,data breach,"Louis Vuitton has become the latest luxury brand in Korea to suffer a data breach, according to the company Friday, following recent similar cases involving Dior, Tiffany and Cartier in the country. In a notice posted on its website, Louis Vuitton Korea informed customers that a third-party entity temporarily accessed the company's systems on June 8 and leaked some customer information. The company said it has learned of the incident Wednesday. The compromised data may include customer names, contact details and additional information provided by customers, Louis Vuitton said, but stressed that no financial data, such as passwords and credit card numbers, was affected. The incident is the latest in a string of high profile data leaks in the luxury sector in Korea this year. In May, Dior apologized after discovering a data breach incident that occurred in January. Tiffany also revealed in May that it had suffered a breach in April. Cartier notified customers last month about a separate incident involving leaked personal information. Must It, a popular luxury goods e-commerce platform in Korea, also reported two hacking attempts, coming in May and June. The company warned that user data, including names, gender and dates of birth, may have been stolen.",Nonespionage
news_room/date=20250705/hour=03/I4dfc5191595111f083a7eaadf851f99d-1.xml,Louis Vuitton Korea says systems breach led to customer data leak,0.5433,data breach,"A systems breach at Louis Vuitton Korea in June led to the leak of some of customer data including contact information, but did not involve customers' financial information, the luxury brand's South Korea unit said on Friday. ""We regret to inform that an unauthorized third party temporarily accessed our system resulting in the leak of some customer information,"" the unit said in a statement. The company became aware of the breach on Wednesday and had notified government authorities, the statement said. Measures had been taken to contain the breach and to boost system security, it added. The South Korean units of two other labels, Christian Dior Couture and Tiffany, under the world's largest luxury group, have been under government investigations since May for customer data leaks they reported earlier in the year, according to the country's Personal Information Protection Commission.",Nonespionage
